,Region,ScoreType,BestSource,SourcesSet,Value,IsBest,NbFolds
0,Amazonas,OOS,Colombia & GT,Colombia,0.040056059562436734,False,48
1,Amazonas,InSample,Colombia & GT,Colombia,0.35831829684566474,False,48
2,Anzoategui,OOS,Colombia & GT,Colombia,-4.259019318394245,False,48
3,Anzoategui,InSample,Colombia & GT,Colombia,0.33625290579104794,False,48
4,Apure,OOS,Colombia & GT,Colombia,-0.33432983744947165,False,48
5,Apure,InSample,Colombia & GT,Colombia,0.2465788373095659,False,48
6,Aragua,OOS,Colombia & GT,Colombia,-0.3371538963256977,False,48
7,Aragua,InSample,Colombia & GT,Colombia,0.29364152022403844,False,48
8,Barinas,OOS,Colombia & GT,Colombia,-1.7079892506182688,False,48
9,Barinas,InSample,Colombia & GT,Colombia,0.3415478920834553,False,48
10,Bolivar,OOS,Colombia & GT,Colombia,-0.09988484691317524,False,48
11,Bolivar,InSample,Colombia & GT,Colombia,-0.07537617677640096,False,48
12,Carabobo,OOS,Colombia & GT,Colombia,-0.2427512142793682,False,48
13,Carabobo,InSample,Colombia & GT,Colombia,0.42066127688340105,False,48
14,Cojedes,OOS,Colombia & GT,Colombia,-0.02575353751114129,False,48
15,Cojedes,InSample,Colombia & GT,Colombia,0.2432982100532919,False,48
16,Delta Amacuro,OOS,Colombia & GT,Colombia,0.011130001104411091,False,48
17,Delta Amacuro,InSample,Colombia & GT,Colombia,0.3672817062988529,False,48
18,Distrito Federal,OOS,Colombia & GT,Colombia,0.11160797871385553,False,48
19,Distrito Federal,InSample,Colombia & GT,Colombia,0.5780291771368267,False,48
20,Falcon,OOS,Colombia & GT,Colombia,-1.3518678634208483,False,48
21,Falcon,InSample,Colombia & GT,Colombia,0.21018245785164968,False,48
22,Guarico,OOS,Colombia & GT,Colombia,-1.4296711994246838,False,48
23,Guarico,InSample,Colombia & GT,Colombia,0.2513223499711946,False,48
24,Lara,OOS,Colombia & GT,Colombia,0.16685954651522195,False,48
25,Lara,InSample,Colombia & GT,Colombia,0.5313731014471509,False,48
26,Merida,OOS,Colombia & GT,Colombia,0.120214385214219,False,48
27,Merida,InSample,Colombia & GT,Colombia,0.6722135711200021,False,48
28,Miranda,OOS,Colombia & GT,Colombia,-0.3745300276020416,False,48
29,Miranda,InSample,Colombia & GT,Colombia,0.533332093280994,False,48
30,Monagas,OOS,Colombia & GT,Colombia,-0.8005534417870093,False,48
31,Monagas,InSample,Colombia & GT,Colombia,0.3658463758516133,False,48
32,Nueva Esparta,OOS,Colombia & GT,Colombia,-0.2465484071122029,False,48
33,Nueva Esparta,InSample,Colombia & GT,Colombia,0.1660494874200571,False,48
34,Portuguesa,OOS,Colombia & GT,Colombia,-0.4135742046384254,False,48
35,Portuguesa,InSample,Colombia & GT,Colombia,0.3589459578914848,False,48
36,Sucre,OOS,Colombia & GT,Colombia,-1.6182800165669875,False,48
37,Sucre,InSample,Colombia & GT,Colombia,0.3219539230110189,False,48
38,Tachira,OOS,Colombia & GT,Colombia,-0.7030947950608029,False,48
39,Tachira,InSample,Colombia & GT,Colombia,0.7194539897529499,False,48
40,Total,OOS,Colombia & GT,Colombia,-0.5669425960144154,False,48
41,Total,InSample,Colombia & GT,Colombia,0.509094542232731,False,48
42,Trujillo,OOS,Colombia & GT,Colombia,-0.3938839540669339,False,48
43,Trujillo,InSample,Colombia & GT,Colombia,0.31401914893109195,False,48
44,Amazonas,OOS,Colombia & GT,Colombia Border & GT,-0.037855512484971536,False,48
45,Amazonas,InSample,Colombia & GT,Colombia Border & GT,0.3885897383850966,False,48
46,Anzoategui,OOS,Colombia & GT,Colombia Border & GT,-0.7374135253431289,False,48
47,Anzoategui,InSample,Colombia & GT,Colombia Border & GT,0.562724734813832,False,48
48,Apure,OOS,Colombia & GT,Colombia Border & GT,-0.5537589864737051,False,48
49,Apure,InSample,Colombia & GT,Colombia Border & GT,0.4433970362842707,False,48
50,Aragua,OOS,Colombia & GT,Colombia Border & GT,-0.216180762327536,False,48
51,Aragua,InSample,Colombia & GT,Colombia Border & GT,0.5448008430589498,False,48
52,Barinas,OOS,Colombia & GT,Colombia Border & GT,-0.2151090035683753,False,48
53,Barinas,InSample,Colombia & GT,Colombia Border & GT,0.4106858034849107,False,48
