year/week,AMAZONAS-CO,ANTIOQUIA-CO,ARAUCA-CO,ATLÁNTICO-CO,BOGOTÁ-CO,BOLÍVAR-CO,BOYACÁ-CO,CALDAS-CO,CAQUETÁ-CO,CASANARE-CO,CAUCA-CO,CESAR-CO,CHOCÓ-CO,CÓRDOBA-CO,CUNDINAMARCA-CO,GUAINÍA-CO,GUAVIARE-CO,HUILA-CO,LAGUAJIRA-CO,MAGDALENA-CO,META-CO,NARIÑO-CO,NORSANTANDER-CO,PUTUMAYO-CO,QUINDIO-CO,RISARALDA-CO,SANANDRÉS-CO,SANTANDER-CO,SUCRE-CO,TOLIMA-CO,VALLE-CO,VAUPÉS-CO,VICHADA-CO
1/2/2005,0,13,5,13,13,8,2,13,5,25,0,4,0,1,39,8,1,113,1,0,5,0,22,0,58,0,0,50,11,20,63,0,0
1/9/2005,0,10,3,8,19,12,6,5,16,24,3,5,0,3,38,24,4,103,2,0,22,0,8,0,35,18,0,36,2,15,41,0,0
1/16/2005,0,28,4,9,38,10,5,5,14,42,1,2,0,5,51,26,5,98,1,5,19,0,16,0,41,37,0,40,8,36,69,0,0
1/23/2005,0,13,11,11,39,18,4,8,27,44,1,10,2,5,45,24,6,108,0,3,19,1,13,3,38,22,0,61,12,7,65,0,0
1/30/2005,0,29,2,0,18,9,3,16,14,46,0,9,10,3,45,21,5,50,1,3,50,1,17,0,42,30,0,46,11,16,58,0,0
2/6/2005,0,31,8,6,19,5,2,2,5,65,1,3,1,5,37,3,6,66,2,1,48,4,13,0,34,29,0,45,11,65,55,0,0
2/13/2005,0,24,8,6,7,5,2,7,8,67,0,7,4,5,47,10,24,87,2,4,51,0,18,5,56,34,0,29,7,33,50,0,0
2/20/2005,0,21,11,6,8,5,3,2,14,80,0,10,7,3,41,14,21,75,0,13,42,0,16,4,30,27,0,33,12,29,53,0,0
2/27/2005,0,15,5,4,9,8,6,9,12,53,0,5,1,3,53,17,21,66,1,1,69,0,11,0,31,29,0,30,4,17,60,0,0
3/6/2005,0,20,13,7,10,4,1,2,16,84,3,8,3,4,39,5,7,72,1,6,58,1,9,6,52,31,0,26,3,49,51,0,0
3/13/2005,0,18,16,3,5,3,6,2,18,59,6,0,0,1,30,7,11,74,0,1,61,1,10,8,44,56,0,22,7,31,58,0,0
3/20/2005,0,13,8,5,5,1,2,6,7,24,0,7,3,3,36,4,7,53,1,2,41,1,7,4,55,20,0,16,8,43,39,0,0
3/27/2005,0,21,7,6,17,4,8,4,9,72,4,5,5,5,37,4,4,48,3,0,57,2,11,4,52,34,0,25,5,58,60,0,1
4/3/2005,0,20,11,9,22,4,4,14,21,48,3,6,6,4,27,4,0,55,0,0,68,1,11,13,73,53,0,44,7,56,67,0,0
4/10/2005,0,38,3,4,21,2,3,7,22,43,3,7,7,0,38,0,10,54,1,3,97,2,20,2,66,57,0,58,9,48,65,0,0
4/17/2005,0,9,13,4,4,1,8,6,22,81,0,6,8,3,35,3,12,58,0,12,72,1,8,4,77,32,0,37,25,62,62,0,0
4/24/2005,0,33,37,5,11,5,5,10,28,129,1,7,7,2,29,2,2,66,0,0,92,0,6,7,104,23,0,41,7,50,55,0,0
