year/week,AMAZONAS-CO,ANTIOQUIA-CO,ARAUCA-CO,ATLÁNTICO-CO,BOGOTÁ-CO,BOLÍVAR-CO,BOYACÁ-CO,CALDAS-CO,CAQUETÁ-CO,CASANARE-CO,CAUCA-CO,CESAR-CO,CHOCÓ-CO,CÓRDOBA-CO,CUNDINAMARCA-CO,GUAINÍA-CO,GUAVIARE-CO,HUILA-CO,LAGUAJIRA-CO,MAGDALENA-CO,META-CO,NARIÑO-CO,NORSANTANDER-CO,PUTUMAYO-CO,QUINDIO-CO,RISARALDA-CO,SANANDRÉS-CO,SANTANDER-CO,SUCRE-CO,TOLIMA-CO,VALLE-CO,VAUPÉS-CO,VICHADA-CO,Denge-VE-GT,DolorCabeza-VE-GT,DolorGarganta-VE-GT,DoloresArticulares-VE-GT,DoloresMusculares-VE-GT,Fiebre-VE-GT,Nausea-VE-GT,Vomito-VE-GT,Dengue-CO-GT,DolorCabeza-CO-GT,DolorGarganta-CO-GT,DolorMuscular-CO-GT,DolorOjos-CO-GT,Fiebre-CO-GT,Nausea-CO-GT,Vomito-CO-GT
1/2/2005,0,13,5,13,13,8,2,13,5,25,0,4,0,1,39,8,1,113,1,0,5,0,22,0,58,0,0,50,11,20,63,0,0,51.88355774,5.043546759,0,0,5.768523708,45.73637777,0.00401295722,38.65797779,24.27651713,21.07943382,0.02901572323,16.04627971,0.0001629931569,18.07347848,36.08939588,21.3260195
1/9/2005,0,10,3,8,19,12,6,5,16,24,3,5,0,3,38,24,4,103,2,0,22,0,8,0,35,18,0,36,2,15,41,0,0,49.06313607,4.145950154,0,0,5.618910197,45.97838124,0.003572744076,21.39942935,22.59399098,25.14448847,0.02669019714,15.67517827,0.0001576835265,18.4235012,34.58989064,15.8046732
1/16/2005,0,28,4,9,38,10,5,5,14,42,1,2,0,5,51,26,5,98,1,5,19,0,16,0,41,37,0,40,8,36,69,0,0,47.48936004,3.636905539,0,0,5.555244692,46.54700647,0.003101479637,8.95122151,21.54089138,26.88427937,0.2135352515,15.18049662,0.0001524191812,18.91135736,32.60978767,11.80137008
1/23/2005,0,13,11,11,39,18,4,8,27,44,1,10,2,5,45,24,6,108,0,3,19,1,13,3,38,22,0,61,12,7,65,0,0,48.52891963,3.614862295,1.015021621,0.053350833,5.584144078,47.04810546,0.09666750189,7.394786393,21.77757938,26.05984441,0.2728117387,14.56223475,0.0001472001212,19.5129733,30.19465989,9.409075381
1/30/2005,0,29,2,0,18,9,3,16,14,46,0,9,10,3,45,21,5,50,1,3,50,1,17,0,42,30,0,46,11,16,58,0,0,51.67988576,4.349465307,4.551221384,0.1847282309,5.705608354,49.53192608,0.2103900739,11.16832196,22.26450684,22.67116249,0.2025376435,13.82039266,0.0001420263464,20.29635272,27.34450742,8.884367154
2/6/2005,0,31,8,6,19,5,2,2,5,65,1,3,1,5,37,3,6,66,2,1,48,4,13,0,34,29,0,45,11,65,55,0,0,55.2185549,5.196716266,9.069131042,0.3270634818,5.934656559,66.79141986,0.1943031365,29.46244618,22.83191434,17.17916791,0.02857733131,12.98142715,0.0001368978568,21.08928074,24.16701142,27.98039542
2/13/2005,0,24,8,6,7,5,2,7,8,67,0,7,4,5,47,10,24,87,2,4,51,0,18,5,56,34,0,29,7,33,50,0,0,56.78187341,5.918421089,12.54475671,0.2148364153,6.363975636,72.67860672,0.1465234142,37.40913375,22.4589821,12.42842264,0.01563182339,12.2086109,0.0001318146524,20.98979424,21.3267057,37.0746608
2/20/2005,0,21,11,6,8,5,3,2,14,80,0,10,7,3,41,14,21,75,0,13,42,0,16,4,30,27,0,33,12,29,53,0,0,56.26081389,6.348323581,14.2067639,0,7.028888138,72.80419443,0.1045321244,40.2468323,22.64902533,9.502975821,0.01642203846,11.56416635,0.0001267767333,19.96512303,19.0768409,39.30989152
2/27/2005,0,15,5,4,9,8,6,9,12,53,0,5,1,3,53,17,21,66,1,1,69,0,11,0,31,29,0,30,4,17,60,0,0,58.25035151,6.494180893,14.05363422,0,7.929463598,68.29290731,0.06886821059,38.26195939,24.02848705,8.404961395,0.01693591842,11.04821599,0.0001217840993,18.25681088,17.41791565,38.33210145
3/6/2005,0,20,13,7,10,4,1,2,16,84,3,8,3,4,39,5,7,72,1,6,58,1,9,6,52,31,0,26,3,49,51,0,0,60.14905083,6.428310442,12.34528455,0,8.981185326,58.93909657,0.03900891383,31.54114022,25.74329814,8.93325844,0.01717357473,10.66075982,0.0001168367506,15.82441549,16.40615606,33.33142829
