year/week,Dengue-AntioquiaGT-CO,Dengue-AtlanticoGT-CO,Dengue-BogotaGT-CO,Dengue-BolivarGT-CO,Dengue-BoyacaGT-CO,Dengue-CaldasGT-CO,Dengue-CasanareGT-CO,Dengue-CaucaDepartmentGT-CO,Dengue-CesarGT-CO,Dengue-CordobaGT-CO,Dengue-CundinamarcaGT-CO,Dengue-HuilaGT-CO,Dengue-LaGuajiraGT-CO,Dengue-MagdalenaGT-CO,Dengue-MetaGT-CO,Dengue-NarinoGT-CO,Dengue-NorthSantanderGT-CO,Dengue-QuindioGT-CO,Dengue-RisaraldaGT-CO,Dengue-SantanderDepartmentGT-CO,Dengue-SucreGT-CO,Dengue-TolimaGT-CO,Dengue-ValledelCaucaGT-CO,DolorCabeza-AntioquiaGT-CO,DolorCabeza-AtlanticoGT-CO,DolorCabeza-BogotaGT-CO,DolorCabeza-BolivarGT-CO,DolorCabeza-BoyacaGT-CO,DolorCabeza-CaldasGT-CO,DolorCabeza-CasanareGT-CO,DolorCabeza-CesarGT-CO,DolorCabeza-CordobaGT-CO,DolorCabeza-CundinamarcaGT-CO,DolorCabeza-HuilaGT-CO,DolorCabeza-MagdalenaGT-CO,DolorCabeza-MetaGT-CO,DolorCabeza-NarinoGT-CO,DolorCabeza-QuindioGT-CO,DolorCabeza-RisaraldaGT-CO,DolorCabeza-SucreGT-CO,DolorCabeza-TolimaGT-CO,DolorGarganta-AntioquiaGT-CO,DolorGarganta-AtlanticoGT-CO,DolorGarganta-BogotaGT-CO,DolorGarganta-BolivarGT-CO,DolorGarganta-CundinamarcaGT-CO,DolorGarganta-NorthSantanderGT-CO,DolorGarganta-RisaraldaGT-CO,DolorGarganta-SantanderDepartmentGT-CO,DolorGarganta-ValledelCaucaGT-CO,DolorMuscularGT-CO,DolorMusculo-BogotaGT-CO,DolorMusculo-CundinamarcaGT-CO,DolorOjos-BogotaGT-CO,Fiebre-AntioquiaGT-CO,Fiebre-AraucaGT-CO,Fiebre-AtlanticoGT-CO,Fiebre-BogotaGT-CO,Fiebre-BolivarGT-CO,Fiebre-BoyacaGT-CO,Fiebre-CaldasGT-CO,Fiebre-CaquetáGT-CO,Fiebre-CasanareGT-CO,Fiebre-CaucaDepartmentGT-CO,Fiebre-HuilaGT-CO,Fiebre-LaGuajiraGT-CO,Fiebre-MagdalenaGT-CO,Fiebre-MetaGT-CO,Fiebre-NarinoGT-CO,Fiebre-NorthSantanderGT-CO,Fiebre-PutumayoGT-CO,Fiebre-QuindioGT-CO,Fiebre-RisaraldaGT-CO,Fiebre-SanAndrésandProvidenciaGT-CO,Fiebre-SantanderDepartmentGT-CO,Fiebre-SucreGT-CO,Fiebre-TolimaGT-CO,Fiebre-ValledelCaucaGT-CO,Nausea-AntioquiaGT-CO,Nausea-AtlanticoGT-CO,Nausea-BogotaGT-CO,Nausea-CundinamarcaGT-CO,Nausea-MetaGT-CO,Nausea-SantanderDepartmentGT-CO,Nausea-ValledelCaucaGT-CO,Vomito-AntioquiaGT-CO,Vomito-AtlanticoGT-CO,Vomito-BogotaGT-CO,Vomito-BolivarGT-CO,Vomito-BoyacaGT-CO,Vomito-CaldasGT-CO,Vomito-CasanareGT-CO,Vomito-CaucaDepartmentGT-CO,Vomito-CesarGT-CO,Vomito-CordobaGT-CO,Vomito-CundinamarcaGT-CO,Vomito-HuilaGT-CO,Vomito-LaGuajiraGT-CO,Vomito-MagdalenaGT-CO,Vomito-MetaGT-CO,Vomito-NarinoGT-CO,Vomito-NorthSantanderGT-CO,Vomito-QuindioGT-CO,Vomito-RisaraldaGT-CO,Vomito-SantanderDepartmentGT-CO,Vomito-SucreGT-CO,Vomito-TolimaGT-CO,Vomito-ValledelCaucaGT-CO
1/2/2005,5.926471352,0.2269841212,0.000177372788,2.564248493,0,0.004056918103,0,0,2.55E-05,0,4.343045741,0,0.0001148311455,0,0,0,0.001412365017,0,0,0,0,0.0005057940015,11.20947464,18.63657971,0.09466991468,0,0,7.03E-06,0,0,0,0,2.342988957,0,7.83E-06,0.00512807585,0,0,0,5.23E-05,0,0.004236571802,0.0007172949038,0.0001342645667,0,0,0,0,0.02392759196,0,8.847163776,0,7.199115935,0.0001629931569,1.614074872,9.24E-05,3.116813968,0,0.05488706725,7.16E-05,0.0003207642419,0,0,8.481605031,0,0,0,0.008514306223,1.22E-05,0,2.44E-06,0.0004861152334,0,0,2.717806948,0,1.20E-05,2.078778769,18.59893198,0,1.83E-05,17.49013014,0.0003154641305,0,0,0,0,0.0001243523986,0,0,0,0,0,0,0,4.834981819,0,0,1.65E-06,0,1.05E-05,0,5.25E-05,0,0,0.0006751852011,0,16.49017349
1/9/2005,5.338929433,0.2578956559,0.000171466945,1.029646456,0,0.002150647983,0,0,6.65E-06,0,4.819323442,0.05516898687,6.68E-05,0,0,0,0.00135061088,0,0.1664455741,0,0,0.0004835964552,10.92235166,22.70528502,0.08098895965,0,0,2.02E-06,0,0,0,0,2.353066301,0,2.15E-06,0.005127120027,0,0,0,1.69E-05,0,0.006703682324,0.0007031409744,0.0001293521015,0,0,0,0,0.01915402174,0,8.691137449,0,6.984040822,0.0001576835265,1.591478176,8.89E-05,3.073401382,0,0.1163854895,3.11E-05,0.000300528655,0,0,8.775277728,0,0,0,0.006204428321,3.52E-06,0,2.37E-06,0.0004647398633,0,0,2.77167373,0,3.75E-06,2.08818536,15.22705423,0,1.77E-05,19.36251649,0.0003022193879,0,0,0,0,0.0001203063429,0,0,0,0,0,0,0,4.199056501,0,0,4.94E-07,0,3.17E-06,0,2.46E-05,0,0,0.0006486332242,0,11.6048195
1/16/2005,5.191568461,0.2674834742,0.0001656122403,0,0,0,0,0,0,0,5.075360597,0.1567888849,1.96E-05,0,0,0,0.001289489563,0,0.2712292237,0.01639823259,0,0.0004616268556,10.56012618,24.4537702,0.06798150612,0,0,0,0,0,0,0,2.357416346,0,0,0.005111322353,0,0,0,0,0,0.00889712986,0.0006862999935,0.0001244848295,0,0.1904112209,0,0,0.01341611592,0,8.484330596,0,6.69616602,0.0001524191812,1.579292424,8.55E-05,3.04528427,0,0.18555126,0,0.0002783700504,0,0,9.173462396,0,0,0,0.0034622637,0,0,2.30E-06,0.0004435842379,0,0,2.833078211,0,0,2.090416783,12.8412061,0,1.71E-05,19.76827536,0.0002891072581,0,0,0.1465498889,0,0.0001162947667,0,0,0,0,0,0,0,3.619209182,0,0,0,0,0,0,0,0,0,0.000622337005,0,8.034872379
1/23/2005,5.524452924,0.2627678243,0.0001598086737,0,0,0,0,0,0,0,5.090970983,0.1994520803,0,0,0,0,0.001229001066,0,0.3428305127,0.2324781406,0,0.0004398852026,10.12279822,23.64307708,0.05564755407,0,0,0,0,0,0,0,2.356039093,0,0,0.005080682826,0,0,0,0,0,0.01081691441,0.0006667719611,0.0001196627507,0,0.2544945151,0,0,0.006713874489,0,8.226743218,0,6.335491529,0.0001472001212,1.577517616,8.22E-05,3.032462632,0,0.2623843789,0,0.0002542884283,0,0,9.652066069,0,0,0,0.0002878123602,0,0,2.23E-06,0.0004226483572,0,0,2.90202039,0,0,2.085473038,11.58813018,0,1.65E-05,18.60623708,0.0002761277412,0,0,0.3174373289,0,0.0001123176698,0,0,0,0,0,0,0,3.110571839,0,0,0,0,0,0,0,0,0,0.0005962965436,0,5.980357599
1/30/2005,6.337582821,0.2437487062,0.0001540562454,0,0,0,0,0,0,0,4.866154597,0.246358218,0,0,0,0,0.001169145389,0,0.4214971454,0.5370560261,0,0.0004183714964,9.610367755,20.27320565,0.04398710351,0,0,0,0,0,0,0,2.34893454,0,0,0.005035201449,0,0,0,0,0,0.01246303598,0.0006445568774,0.0001148858651,0,0.1893151648,0,0,0,0,7.918375314,0,5.902017349,0.0001420263464,1.586153751,7.88E-05,3.03493647,0,0.3468848461,0,0.0002282837884,0,0,10.21108875,0,0,0,0,0,0,2.16E-06,0.0004019322211,0.06472333362,0,2.978500267,0,0,2.073354126,11.46782649,0,1.60E-05,15.87640165,0.0002632808372,0,0,0.4136000532,0,0.0001083750523,0,0,0,0,0.3556685846,0,0,2.673144471,0,0,0,0,0,0,0,0,0,0.0005705118399,0,5.441275158
2/6/2005,7.527285022,0.1897643572,0.0001483549553,0,0,0,0,0,0,0,4.434031088,0.2669833298,0,0,0,0,0.001109922533,0,0.4488484937,0.8469741777,0,0.0003970857368,9.116372513,14.79818657,0.03300015445,0,0,0,0,0,0,0,2.343006306,0,0,0.004974878219,0,0,0,0,0,0.01383549456,0.0006196547422,0.0001101541727,0,0.01401202784,0,0,0,0,7.568580721,0,5.412846431,0.0001368978568,1.605200829,7.55E-05,3.052705782,0,0.4037665463,0,0.000200356131,0,0,10.74364452,0,0,0,0,0,0,2.09E-06,0.0003814358298,0.1667257953,0,3.062517843,0,0,2.054060046,12.31814349,0,1.54E-05,11.84860196,0.000250566546,0,0,0.4376496269,0,0.0001044669143,0,0,0,0,0.3620878647,0,0,2.308036369,0,0,0,0,0,0,0,0,18.65277472,0.000544982894,0,6.219197393
2/13/2005,8.453761924,0,0.0001427048033,0,0,0,0,0,0,0,3.998991604,0.07295496381,0,0,0,0,0.001051332498,0,0.0646004026,0.6490417205,0,0.0003760279238,9.218061421,10.01997757,0.02268670688,0,0,0,0,0,0,0,2.380858652,0,0,0.004899713138,0,0,0,0,0,0.01493429016,0.0005920655556,0.0001054676735,0,0,0,0,0,0,7.235084741,0,4.973526157,0.0001318146524,1.634658851,7.22E-05,3.085770569,0,0.2152684064,0,0.0001705054559,0,0,10.59010882,0,0,0,0,0,0,2.02E-06,0.0003611591831,0.281717789,0,3.154073116,0,0,2.027590799,13.13839616,0,1.48E-05,8.188056751,0.0002379848677,0,0,0.4057027914,0,0.0001005932556,0,0,0,0,0.2738535026,0,0,2.022093299,0,0,0,0,0,0,0,0,27.28282251,0.0005197097059,0,7.089568396
2/20/2005,8.873189682,0,0.0001371057896,0,0,0,0,0,0,0,3.638928644,0,0,0,0,0,0.0009933752822,0,0,0,0,0.0003551980576,10.13542132,7.006391493,0.01304676079,0,0,0,0,0,0,0,2.478727861,0,0,0.004809706206,0,0,0,0,0,0.01575942277,0.0005617893175,0.0001008263675,0,0,0,0,0,0,6.939886214,0,4.624280135,0.0001267767333,1.674527816,6.90E-05,3.13413083,0,0,0,0.0001387317631,0,0,9.499101818,0,0,0,0,0,0,1.95E-06,0.0003411022812,0.4096993146,0,3.253166088,0,0,1.993946384,13.54722814,0,1.42E-05,5.529373022,0.0002255358022,0,0,0.3239015609,1.232303823,9.68E-05,0,0,0,0,0.1972307026,0,0,1.817924148,0,0,0,0,0,0,0,0,28.15222409,0.0004946922755,0,7.5857157
2/27/2005,8.78508833,0,0.0001315579141,0.01911571877,0,0,0,0,0,0,3.353995542,0,0,0,0,0,0.0009360508871,0,0,0,0,0.000334596138,11.86888525,5.759530327,0.004080316201,0,0,0,0,0,0,0,2.636645894,0,0,0.004704857422,0,0,0,0,0,0.01631089239,0.000528826028,9.62E-05,0,0,0,0,0,0,6.683028442,0,4.365187545,0.0001217840993,1.724807724,6.58E-05,3.197786566,0,0,0,0.0001050350527,0,0,7.470128681,0,0,0,0,0,0,1.88E-06,0.0003212651239,0.5506703721,0,3.359796759,0,0,1.953126801,13.54388873,0,1.37E-05,3.873799996,0.0002132193496,0,0,0.1922580257,5.817394404,9.29E-05,0,0,0,0,0.1324286485,0,0,1.695534053,0,0,0,0,0,0,0,0,22.78720283,0.0004699306028,0,7.706720657
3/6/2005,8.26010878,0,0.0001260611767,0.1419530409,0,0,0,0,0,0,3.144192298,0,0,0,0,0,0.0008793593124,0,0,0,0,0.0003142221651,14.19572438,6.074060521,0,0,0,0,0,0,0,0,2.854612752,0,0,0.004585166786,0,0,0,0,0,0.01658869904,0.0004931756871,9.17E-05,0,0,0,0,0,0,6.464511428,0,4.196248387,0.0001168367506,1.785498576,6.26E-05,3.276737777,0,0,0,6.94E-05,0,0,4.678015535,0,0,0,0,0,0,1.81E-06,0.0003016477113,0.7046309616,0,3.473965127,0,0,1.905132051,13.18460425,0,1.31E-05,3.221337673,0.0002010355099,0,0,0.01077218609,11.86967018,8.92E-05,0.002309963502,0,0,0,0.07944734005,0,0,1.654923014,0,0,0,0,0,0,0,0,12.21484866,0.0004454246879,0,7.49892232
3/13/2005,7.734258748,0,0.0001206155776,0.216211012,0,0,0,0,0,0,3.00951891,0,0,0,0,0,0.000823300558,0,0,0,0,0.0002940761388,15.74141304,6.682807866,0,0,0,0,0,0,0,0,3.132628434,0,0,0.004450634299,0,0,0,0,0,0.01659284269,0.0004548382947,8.72E-05,0,0,0,0,0,0,6.28433517,0,4.117462661,0.0001119346871,1.856600372,5.94E-05,3.370984462,0,0,0,3.19E-05,0,0,2.20166623,0,0,0,0,0,0,1.75E-06,0.0002822500435,0.8715810831,0,3.595671194,0,0,1.849962134,12.81636395,0,1.26E-05,3.571986054,0.000188984283,0,0,0,17.09453574,8.54E-05,0.006735843073,0,0,0,0.03828677737,0,0,1.69609103,0,0,0,0,0,0,0,0,2.77363798,0.0004211745308,0,7.248292705
