year/week,Dengue-AmazonasGT-VE,Dengue-AnzoateguiGT-VE,Dengue-ApureGT-VE,Dengue-AraguaGT-VE,Dengue-BarinasGT-VE,Dengue-BolívarGT-VE,Dengue-CapitalDistrictGT-VE,Dengue-CaraboboGT-VE,Dengue-CojedesGT-VE,Dengue-DeltaAmacuroGT-VE,Dengue-FalcónGT-VE,Dengue-GuáricoGT-VE,Dengue-LaraGT-VE,Dengue-MéridaGT-VE,Dengue-MirandaGT-VE,Dengue-MonagasGT-VE,Dengue-NuevaEspartaGT-VE,Dengue-PortuguesaGT-VE,Dengue-SucreGT-VE,Dengue-TáchiraGT-VE,Dengue-TrujilloGT-VE,Dengue-VargasGT-VE,Dengue-YaracuyGT-VE,Dengue-ZuliaGT-VE,DolorCabeza-AraguaGT-VE,DolorCabeza-BolívarGT-VE,DolorCabeza-CapitalDistrictGT-VE,DolorCabeza-CaraboboGT-VE,DolorCabeza-LaraGT-VE,DolorCabeza-MirandaGT-VE,DolorCabeza-ZuliaGT-VE,DolorGarganta-CapitalDistrictGT-VE,DolorGarganta-ZuliaGT-VE,DoloresArticularesGT-VE,DoloresMusculares-CapitalDistrictGT-VE,Fiebre-AnzoateguiGT-VE,Fiebre-ApureGT-VE,Fiebre-AraguaGT-VE,Fiebre-BarinasGT-VE,Fiebre-BolívarGT-VE,Fiebre-CapitalDistrictGT-VE,Fiebre-CaraboboGT-VE,Fiebre-CojedesGT-VE,Fiebre-FalcónGT-VE,Fiebre-GuáricoGT-VE,Fiebre-LaraGT-VE,Fiebre-MéridaGT-VE,Fiebre-MirandaGT-VE,Fiebre-MonagasGT-VE,Fiebre-NuevaEspartaGT-VE,Fiebre-PortuguesaGT-VE,Fiebre-SucreGT-VE,Fiebre-TáchiraGT-VE,Fiebre-TrujilloGT-VE,Fiebre-VargasGT-VE,Fiebre-YaracuyGT-VE,Fiebre-ZuliaGT-VE,Nausea-AraguaGT-VE,Nausea-BolívarGT-VE,Nausea-CapitalDistrictGT-VE,Nausea-CaraboboGT-VE,Nausea-LaraGT-VE,Nausea-ZuliaGT-VE,Vomito-AnzoateguiGT-VE,Vomito-AraguaGT-VE,Vomito-BarinasGT-VE,Vomito-BolívarGT-VE,Vomito-CapitalDistrictGT-VE,Vomito-CaraboboGT-VE,Vomito-FalcónGT-VE,Vomito-GuáricoGT-VE,Vomito-LaraGT-VE,Vomito-MéridaGT-VE,Vomito-MirandaGT-VE,Vomito-MonagasGT-VE,Vomito-NuevaEspartaGT-VE,Vomito-PortuguesaGT-VE,Vomito-SucreGT-VE,Vomito-TáchiraGT-VE,Vomito-TrujilloGT-VE,Vomito-VargasGT-VE,Vomito-YaracuyGT-VE,Vomito-ZuliaGT-VE
1/2/2005,0,6.818437005,0.0001032588682,0,0,7.166798154,2.870550224,0,2.30E-05,0,0.0008071754004,0.4058556926,9.897415619,10.82031715,0.1100622486,0.0004954714587,0.01127854188,0.2796549138,0,0.1781708428,0,1.72E-05,7.075713367,6.247857875,0,0,5.043546759,0,0,0,0,0,0,0,5.768523708,0,0,8.443862837,0.001577514907,0,9.044714279,0,0,0,0,16.09901533,0.006731003015,11.35501369,0,0,0.4689479246,0.1032103361,0,0.002112317737,4.32E-05,0.0001668787906,0.2109824553,0,0.0004877904908,0,9.68E-07,0.003524198729,0,0.001585642807,0.0004590493123,0,0,6.95457607,15.89457803,0.003193966525,0.007615635532,0,0,0,0.001351340454,0,5.83E-05,0,0.05708240773,0,9.04E-05,0.0001392540283,15.73724769
1/9/2005,0,6.91689276,0.0001004799564,0,0,7.014322195,4.410096364,0,2.23E-05,0,0.0007733081259,0.4822688987,9.431564821,10.05976037,0,0.0004703488821,0.00876046906,0.5272655445,0,0.1722687307,0,1.67E-05,3.652735272,6.385817511,0,0,4.145950154,0,0,0,0,0,0,0,5.618910197,0.02169927246,0,8.51254182,0.001546496125,0,9.268325069,0,0,0,0,16.43004814,0.01120029387,11.36500031,0,0,0.08032435689,0.08710672436,0,0,4.21E-05,0.0001595372333,0.2003871166,0,0.0004687319294,0,1.13E-07,0.003103899147,0,0.001485201812,0.0004611434441,0,0,6.538110885,7.761099415,0.003132132259,0.007639890597,0,0,0,0.001293689443,0,2.51E-05,0,0.01585988045,0,8.80E-05,0.0001338300671,7.07010018
1/16/2005,0,7.175880796,9.77E-05,0.06994514255,0,7.055737833,5.513932543,0,2.15E-05,0,0.0007382357328,0.2182539908,9.262195247,9.743021966,0,0.0004425876506,0.006074712686,0.5895223268,0,0.1583535992,0,1.61E-05,1.022893104,6.672232653,0,0,3.636905539,0,0,0,0,0,0,0,5.555244692,0.1978216473,0,8.577397523,0.001509573251,0,9.600001978,0,0,0,0,16.53012017,0.0147572419,11.37624799,0,0,0,0.07183166775,0,0,4.09E-05,0.0001522711578,0.1771255102,0,0.0004498562216,0,0,0.002651623415,0,0.001375232498,0.0004619896999,0,0,6.657099409,1.595586778,0.003058392114,0.007643062751,0,0,0,0.001236621045,0,0,0,0,0.003758557091,8.56E-05,0.000128458046,0.6807874098
1/23/2005,0,7.615138497,9.50E-05,0.1662049901,0.3322071662,7.289097014,6.098181958,0,2.08E-05,0,0.0007019582212,0,9.414260302,9.907215434,0,0.0004121877642,0.003221272755,0.4551101639,0,0.1364254485,0,1.56E-05,0,7.110611833,0,0,3.575305399,0,0,0,0.03955689624,1.015021621,0,0.053350833,5.584144078,0.4178530956,0,8.638429946,0.001466746283,0,10.03957485,0,0,0,0,16.34585456,0.01740184711,11.38875673,0,0,0,0.05738516622,0,0,3.98E-05,0.0001450805642,0.1411976364,0,0.0004311633672,0.09406896699,0,0.002167371535,0,0.001255734866,0.0004615880798,0,0,7.373507679,0,0.002972746092,0.007625151997,0,0,0,0.00118013526,0,0,0,0,0.007577119499,8.31E-05,0.000123137965,0
1/30/2005,0,8.234665864,9.23E-05,0.2026192195,0.6003602212,7.714399738,6.16284461,0,2.01E-05,0,0.0006644755914,0,9.887759987,10.55234077,0,0.0003791492228,0.0002001492679,0.1240290556,0,0.1064842784,0.3920556879,1.51E-05,0,7.700955051,0,0,3.961149733,0,0,0,0.3883155736,4.551221384,0,0.1847282309,5.705608354,0.6817936173,0,8.695639089,0.001418015222,2.130572434,10.58704369,0,0,0,0,15.87725132,0.01913410949,11.40252652,0,0,0,0.04376721979,0,0,3.86E-05,0.0001379654524,0.09260349497,0,0.0004126533662,0.208326277,0,0.001651143506,0,0.001126708915,0.0004599385836,0,0,8.687335696,0,0.002875194193,0.007586158332,2.459984893,0,0,0.001124232087,0,0,0,0,0.007630564458,8.07E-05,0.000117869824,0
2/6/2005,0,8.990261587,8.96E-05,0.1843765112,0.5030837646,8.283177251,5.77900616,0,1.94E-05,0,0.0006257878428,0,10.59058325,11.49182977,0.1887362761,0.0003434720265,0,0,0,0.06853008904,0.7582910829,1.45E-05,0,8.379586397,0,0,4.724872156,0,0,0,0.4718441095,9.069131042,0,0.3270634818,5.934656559,0.9099166156,0,8.752793275,0.001363380067,18.88434939,11.19433688,0.3781823452,0,0,0,15.17047723,0.01995402904,11.41755737,0,0,0,0.03097782845,0,0,3.75E-05,0.0001309258225,0.03134308601,0,0.0003943262187,0.192805871,0,0.001102939329,0,0.0009881546457,0.0004570412115,0,0,10.53613352,0,0.002765736415,0.007526081757,18.9057009,0,0,0.001068911527,0,0,0,0,0.007614780464,7.84E-05,0.0001126536232,0
2/13/2005,0,9.609146296,8.69E-05,0.1434977497,0.3260519863,8.696314513,5.38535729,0,1.87E-05,0,0.0005858949759,0,10.95428546,11.57431464,0.3618208084,0.0003051561753,0,0,0,0.02256288034,0.9539681619,1.40E-05,0,8.753542975,0,0,5.437157888,0,0,0,0.4812632007,12.54475671,0,0.2148364153,6.363975636,0.6102056383,0,8.833147944,0.001302840819,24.91981178,11.56479025,0.7621758988,0,0,0,14.51044126,0.01986160577,11.43384928,0,0,0,0.01901699219,0.003842965201,0,3.63E-05,0.0001239616743,0,0,0.0003761819246,0.1456244733,0,0.0005227590027,0,0.0008400720577,0.0004528959634,0,0,12.53450412,0,0.00264437276,0.007444922273,24.85451994,0,0,0.001014173579,0,0,0,0,0.007529767517,7.60E-05,0.0001074893625,0
2/20/2005,0,9.98736506,8.42E-05,0.09218594289,0.1781339701,8.839820195,5.149080944,0.3719380772,1.79E-05,0,0.0005447969904,0.4507831861,10.76223506,10.36101457,0.4263914799,0.0002642016692,0,0,0,0,0.9678723278,1.35E-05,0,8.673068479,0,0,5.934397096,0.0207009382,0.00366596139,0,0.389559585,14.2067639,0,0,7.028888138,0,0,8.945565634,0.001236397478,25.75405634,11.58534649,0.918990034,0,0,0.03325487075,14.00572086,0.01885683968,11.45140224,0,0.07690816081,0,0.007884711024,0.004819579444,0,3.52E-05,0.0001170730081,0,0,0.0003582204839,0.1041739039,0,0,0,0.0006824611512,0.0004475028394,0,0,14.53557448,0,0.002511103227,0.007342679879,25.61377192,0,0,0.0009600182445,0,0,0,0,0.007375525618,7.37E-05,0.0001023770419,0.0779905276
2/27/2005,0,10.12471324,8.16E-05,0.03046511234,0.05954402517,8.713469904,5.070506222,1.950160175,1.73E-05,0,0.0005024938865,5.115397927,10.01400562,7.851065835,0.3823388235,0.0002206085081,0,0,0,0,0.7999815045,1.30E-05,0,8.137868116,0,0,6.216267714,0.05306620889,0.02816688375,0,0.1966800866,14.05363422,0,0,7.929463598,0,0,9.090063791,0.001164050044,21.38319664,11.25578305,0.848415146,0,0,0.09363570173,13.65652978,0.01693973076,11.47021626,0,0.4710704566,0,0,0.005748347903,0,3.41E-05,0.0001102598236,0,0,0.0003404418968,0.06852776869,0,0,0,0.0005153219261,0.0004408618394,0,0,16.53905549,0,0.002365927817,0.007219354575,21.17959719,0,0,0.0009064455226,0,0,0,0,0.007152054764,7.14E-05,9.73E-05,0.5245380452
3/6/2005,0,10.02119085,7.90E-05,0,0,8.317263641,5.149633126,4.167596799,1.66E-05,0,0.0004589856643,11.47300116,8.823771039,4.29244688,0.2296628393,0.0001743766921,0,0,0,0,0.450295692,1.25E-05,0,7.223447343,0,0,6.28276974,0.08958133401,0.05595936813,0,0,12.34528455,0,0,8.981185326,0,0,9.266642416,0.001085798516,12.63103546,10.64821275,0.5504512348,0,0,0.1119784563,13.46286801,0.01411027902,11.49029134,0,0.7526166493,0.002924189131,0,0.006743466827,0,3.30E-05,0.000103522121,0,0,0.000322846163,0.03868606767,0,0,0,0.0003386543825,0.0004329729634,0,0,18.39633091,0.2944176867,0.002208846528,0.007074946362,12.38222038,0,0,0.0008534554134,0,0,0,0,0.006859354958,6.91E-05,9.23E-05,0.4502416145
